AQW00061705         541C   497C   552C   522C   519C   479C   473C   474C   480C   507C   508C   538C
USW00014845           0S -7777S -7777S     4S    32S   124S   198S   146S    48S     5S -7777S     0S
USW00014846           0C -7777S     1C     9C    47S   183S   290S   243S    99S    14C -7777C     0C
USW00014847           0C     0C     0C -7777C     5C    30C    78C    65C    17C     1C     0C     0C
USW00014848           0S -7777S     1S     9C    46C   165C   253C   208C    82C     9C -7777C     0C
USW00014850           0S -7777S -7777S     3S    17S    81S   152C   116C    38S     4S -7777S     0S
USW00014852           0C -7777C     1C     8C    30C   110C   185C   152C    52C     6C -7777C -7777C
USW00014853           0R     0R -7777R     3R    27R   141R   221R   178R    49R     6R     0R     0R
USW00014855           0R     0R     1R    11R    50R   167R   284R   262R   110R    10R -7777R     0R
USW00014858           0R     0R     0R     1R     7R    31R    77R    63R    15R     1R -7777R     0R
USW00014859           0R     0R     0R     2R     8R    40R    79R    76R    25R     1R -7777R     0R
USW00014860           0S -7777S     1S     6S    32S   123S   213S   183S    71S     9S -7777S -7777S
USW00014880           0R     0R -7777R     4R    21R   105R   205R   167R    55R     7R -7777R     0R
USW00014891           0S -7777S     1S     7S    38S   134S   210S   172S    63S     7S -7777S -7777S
USW00014892           0R     0R     1R    13R    64R   209R   342R   309R   144R    18R     1R     0R
USW00014894           0R -7777R     1R     9R    36R   136R   227R   199R    70R    11R -7777R -7777R
USW00014895           0S -7777S -7777S     6S    36S   135S   222S   183S    64S     6S -7777S -7777S
USW00014897           0C     0C -7777C     2C    17C    85C   156C   115C    30C     2C     0C     0C
USW00014898           0C     0C -7777C     2C    16C    83C   150C   111C    33C     3C     0C     0C
USW00014910           0S     0S     0S     2S    21S    93S   188C   141C    33C     2C -7777C     0S
USW00014912           0R     0R     0R     2R    20R    87R   174R   152R    36R     1R     0R     0R
USW00014913           0S     0S     0S -7777S     4S    30S    90S    66S    14S -7777S     0S     0S
USW00014914           0C     0C -7777C     3C    28C   107C   202C   165C    43C     3C -7777C     0C
USW00014916           0S     0S     0S     1S    16S    75S   141C   119S    26S     1S -7777S     0S
USW00014918           0S     0S     0S     1S     8S    38C    76C    58C    11C -7777C -7777S     0S
USW00014919           0S     0S     0S     2S    18S    80S   172S   143S    30S     1S     0S     0S
USW00014920           0S -7777S -7777S     7S    41S   166S   273S   213S    74S     8S -7777S     0S
USW00014921           0R     0R -7777R     2R    32R   123R   204R   159R    45R     6R -7777R     0R
USW00014922           0S     0S -7777S     5S    37S   158S   276S   205S    66S     6S -7777S     0S
USW00014923           0S -7777S     1S    13S    62S   214S   324S   269S   106S    14S     1S -7777S
USW00014924           0C     0C     0C     1C    13S    63C   111S    90C    16C -7777C     0C     0S
USW00014925           0C     0C -7777C     4C    30C   130C   207C   154C    54C     6C -7777C     0C
USW00014926           0C     0C -7777C     2C    23C    95C   182C   127C    34C     2C -7777C     0C
USW00014927           0R     0R     0R     3R    43R   161R   281R   212R    63R     7R     0R     0R
USW00014929           0S     0S     0S     2S    21S    92S   208S   160C    40C     2C     0S     0S
USW00014931           0R -7777R     2R    18R    83R   260R   366R   314R   139R    24R     1R -7777R
USW00014933           0S -7777S     1S    13S    62S   221S   349S   293S   113S    14S -7777S     0S
USW00014935           0C -7777C -7777C    11C    54C   213C   349C   287C   109C    11C -7777C     0C
USW00014936           0C     0C -7777C     4C    29C   133C   277C   226C    69C     4C -7777C     0C
USW00014937           0R     0R -7777R     4R    57R   211R   306R   244R    80R    10R -7777R     0R
USW00014938           0R     0R -7777R     7R    55R   192R   313R   277R    83R    12R -7777R     0R
USW00014939           0C -7777C     1C    13C    65C   242C   390C   324C   123C    15C -7777C     0C
USW00014940           0C     0C -7777C     5C    30C   138C   221C   162C    54C     6C -7777C     0C
USW00014941           0C -7777C -7777C    12C    49C   186C   314C   255C    90C     9C -7777C     0C
USW00014942           0S -7777S     1S    15S    66S   230S   365S   303S   117S    15S     1S     0S
USW00014943           0S -7777S -7777S    11S    53S   188S   293S   232S    84S     8S -7777S     0S
USW00014944           0S     0S -7777S     5S    31S   135S   256S   198S    60S     5S -7777S     0S
USW00014945           0R     0R     1R    15R    60R   216R   319R   270R   111R    16R -7777R     0R
USW00014946           0C     0C -7777C     2C    20S    96S   206S   150S    39C     2C -7777C     0C
USW00014950           0C -7777C     1S    10C    53S   201C   314C   255C    93S    11C -7777C     0C
USW00014971           0R     0R     1R    15R    58R   243R   396R   311R   125R    11R -7777R     0R
USW00014972           0R     0R -7777R     3R    39R   152R   245R   179R    58R     8R -7777R     0R
USW00014990           0S -7777S -7777S     7S    42S   166S   252S   201S    72S     8S -7777S     0S
USW00014991           0S     0S -7777S     4S    28S   120S   214S   161S    48S     4S -7777S     0S
USW00014992           0C     0C -7777C     4C    38C   146C   241C   179C    56C     5C -7777C     0C
USW00014995           0C     0C     0C     2C    22S    87S   172S   124S    33S     2S -7777S     0C
USW00021504         198C   172C   211C   216C   271C   306C   343C   355C   336C   327C   272C   225C
USW00021510         307R   269R   344R   354R   389R   429R   467R   496R   471R   467R   390R   339R
USW00021514           0Q     0Q     0Q     0Q     0Q     0Q     0Q     0Q     0Q     0Q     0Q     0Q
USW00021515          93Q    77Q   123Q   127Q   167Q   198Q   240Q   248Q   234Q   226Q   183Q   147Q
USW00022010           3S    16S    87S   223S   430S   571S   648S   657S   460S   230S    47S     3S
USW00022016           0Q     3Q    32Q   137Q   336Q   474Q   510Q   482Q   309Q   106Q     9Q     1Q
USW00022501         212R   185S   242R   264S   329S   379S   428S   449S   427S   409S   326S   262S
USW00022514         259R   241R   285R   331R   381R   441R   494R   505R   477R   448R   382R   310R
USW00022516         217C   192C   245S   272S   333S   388S   439S   456S   426S   408S   331S   259S
USW00022519         245R   213S   257S   272S   329S   374S   415S   439S   432S   415S   336S   282S
USW00022521         254S   228S   293S   332S   395S   456S   502S   524S   495S   467S   380S   302S
USW00022534         173S   148S   190S   227S   284S   346S   392S   417S   400S   377S   294S   219S
USW00022536         209C   186C   239C   270C   335C   394C   439C   454C   433C   408C   324C   254C
USW00022551         239R   209R   273R   306R   343R   421R   474R   487R   452R   439R   345R   273R
USW00023007       -7777C     1C    18C    72C   221C   421C   569C   529C   293C    76C     7C -7777C
USW00023009           0R -7777R     3R    37S   185S   397S   476S   426S   227S    37R     1R     0R
USW00023023       -7777C     2C    16C    90C   281C   461C   532C   502C   295C    93C     7C -7777C
USW00023034           1S     4S    33S   118S   304S   464S   563S   549S   329S   119S    18S     1S
USW00023040       -7777S     1S    19S   104S   314S   516S   578S   547S   337S   105S     8S -7777S
USW00023041       -7777S     2S    21S    98S   275S   448S   555S   533S   316S   110S    11S -7777S
USW00023042           0S -7777S     7S    49S   190S   374S   473S   433S   223S    52S     3S -7777S
USW00023044           0C -7777C    10C    82C   285C   502S   552S   498S   317S    82S     3S     0S
USW00023047           0S -7777S     2S    19S   104S   288S   412S   367S   178S    28S     1S     0S
USW00023048           0R -7777R     1R    15R   103R   316R   439R   380R   179R    27R -7777R     0R
USW00023049           0R     0R     0R -7777R    19R   140R   248R   187R    51R     1R -7777R     0R
USW00023050           0S     0S -7777S     7S    91S   302S   411S   346S   155S    10S     0S     0S
USW00023051           0R     0R     1R     5R    45R   183R   303R   260R   102R    10R -7777R     0R
USW00023052           0R     0R     0R -7777R     6R    66R   135R    93R    18R -7777R     0R     0R
USW00023054           0C     0C     0S -7777C     6C    53C    97C    66C    14C -7777S     0S     0C
USW00023055           0R     1R     5R    36R   182R   351R   345R   309R   166R    44R     1R     0R
USW00023058           0S -7777S     5S    58S   251S   487S   542S   470S   311S    78S     2S     0S
USW00023061           0S     0S     0S     0S -7777S     6S    32S    13S -7777S     0S     0S     0S
USW00023062           0C     0C     0S     2S    18S   122S   272S   214S    58C     2C -7777C     0C
USW00023063           0R     0R     0R     0R     1R    19R    89R    64R     6R -7777R     0R     0R
USW00023064           0S     0S -7777S    12S    77S   252S   410S   365S   162S    20S -7777S     0S
USW00023065           0C     0C -7777C     4C    37C   179C   334C   279C   100C     8C -7777C     0C
USW00023066           0S     0S     0S     3S    48S   231S   410S   327S   103S     3S     0S     0S
USW00023067           0S     0S     1S     8S    64S   244S   414S   347S   138S    10S -7777S     0S
USW00023070           0S     0S -7777S     2S    26S   141S   266S   207S    74S     3S -7777S     0S
USW00023072       -7777S -7777S     5S    34S   143S   346S   494S   457S   230S    43S     4S     0S
USW00023078           0R     0R -7777R    18R   153R   373R   483R   403R   236R    34R -7777R     0R
USW00023081           0S     0S     0S     0S     3S    65S   184S   132S    23S -7777S     0S     0S
USW00023090           0R     0R     0R -7777R    29R   175R   359R   267R    78R     2R     0R     0R
USW00023091           1R     8R    40R   149R   342R   486R   533R   501R   335R   137R    18R     3R
USW00023110           0S -7777S     2S    31S   139S   277S   423S   378S   242S    64S     1S     0S
USW00023129           3R     5R    10R    29R    56R   121R   254R   290R   231R   105R    21R     1R
USW00023130           6R     5R    14R    37R    95R   196R   355R   392R   296R   121R    25R     3R
USW00023136           7R     2R     4R     7R    11R    23R    71R    87R    71R    33R    14R     2R
USW00023152           2S     4S    10S    35S    73S   148S   292S   318S   249S   100S    14S     1S
USW00023153           0C     0C     0S     1C    26C   145C   303C   238C    68C     2C     0C     0C
USW00023154           0C     0C     0C     0C     1C    23C   111C    77C     6C -7777C     0C     0C
USW00023155       -7777S -7777S     9S    57S   201S   379S   583S   539S   362S   124R     4R -7777R
USW00023156           1R     2R     5R    25R    94S   222S   411S   425R   287R    92R    18R -7777S
USW00023157           0S     0S -7777S     4S    64S   214S   382S   313S   119S     8S -7777S     0S
USW00023158           1S    10S    70S   213S   474S   703S   907S   880C   652C   300S    42S     1S
USW00023159           0R     0R     0R     0R     0R     1R    20R     5R     0R     0R     0R     0R
USW00023160           1S     3S    29S   121S   348S   594S   683S   631S   497S   212S    27C -7777C
USW00023161       -7777S     1C    18S    88C   298C   531C   736S   694S   455C   151S     7C -7777S
USW00023162           0R     0R     0S -7777S    15S   112S   297R   244R    51R     1R     0R     0R
USW00023169       -7777S     1S    30C   129C   390S   650S   854S   795S   528S   179S    12S     0S
USW00023170           0R     0R -7777R    12S    97S   311S   511S   410S   142R     7R     0R     0R
USW00023174           4C     5C     6C    11C    14C    42C   119C   145C   122C    63C    19C     1C
USW00023176           0R     0R     0R -7777R    13R   113R   294R   249R    58R     1R     0R     0R
USW00023177           0R     0R     0R -7777R    10R   101R   261R   203R    43R     1R     0R     0R
USW00023179           1S     9C    73S   229S   517C   771S   978S   925S   674S   311S    45C -7777S
USW00023182           0R -7777R     2R    21R   147R   306R   502R   504R   275R    57R     1R     0R
USW00023183           2S    15S    87C   251S   531S   774S   924S   885S   700S   367S    70S     1S
USW00023184           0S     0S -7777S     2S    40S   186S   327S   266S   114S     6S -7777S     0S
USW00023185           0S     0S     0S     1S    36S   136S   314S   259S    88S     5S     0S     0S
USW00023187       -7777S -7777S     1S     7C    37S   131S   287S   294S   189C    50S     2S -7777S
USW00023188           2S     3S     5S    14S    25S    60S   156S   203S   168S    71S    13S -7777S
USW00023190       -7777S -7777S     2R     5S     7S    14S    44S    55S    44S    15S     2S -7777S
USW00023191          10R     8R     9R     9R    24R    40R   128R   173R   154R   102R    30R     3R
